Epoch,Accuracy,F1 Weighted,F1 Macro,F1 Micro,Loss
0,0.6146978021978022,0.6017587825653545,0.47641507010439044,0.6146978021978022,0.9187584761734847
1,0.7396978021978022,0.7266455944882232,0.5752343612427523,0.7396978021978022,0.7096059401775454
2,0.6662087912087912,0.6541624074563221,0.5185666451220372,0.6662087912087912,0.8724560393736913
3,0.6703296703296703,0.6595955244584322,0.5216923962066096,0.6703296703296703,0.8904848652226585
4,0.5899725274725275,0.5782888409684496,0.4552751924684578,0.5899725274725275,0.9225417513113755
5,0.5693681318681318,0.55854392100883,0.4368023867420413,0.5693681318681318,0.9834862164743654
6,0.617445054945055,0.6045884661552765,0.47103046070534055,0.617445054945055,0.8585432561544272
7,0.6126373626373627,0.6070316304108194,0.4893253966869755,0.6126373626373627,0.9293794448559101
8,0.5995879120879121,0.5892643188150163,0.464023548897713,0.5995879120879121,0.8845166446088435
9,0.6943681318681318,0.6810674178890227,0.5392385252721275,0.6943681318681318,0.7860260648386819
10,0.7087912087912088,0.6947114095852731,0.549893140339284,0.7087912087912089,0.7641362993271796
11,0.6675824175824175,0.6580560933046906,0.5250087853773595,0.6675824175824175,0.797941268145383
12,0.7149725274725275,0.6963297685643096,0.545802806590544,0.7149725274725275,0.7271326654232465
13,0.7465659340659341,0.7308186607638179,0.5793458921597188,0.7465659340659342,0.705266474531247
14,0.7355769230769231,0.7180745573429659,0.569504389076652,0.735576923076923,0.6860306028808866
15,0.7815934065934066,0.7673278142081101,0.6287193675263429,0.7815934065934066,0.5809262335955442
16,0.8090659340659341,0.7969202156688951,0.6653831734051043,0.8090659340659341,0.5360268434652915
17,0.8118131868131868,0.7951076912152036,0.6458913674767561,0.8118131868131868,0.5008372297653785
18,0.8276098901098901,0.8138116427034738,0.6684521149818559,0.8276098901098901,0.46737457263273197
19,0.8440934065934066,0.8312114158843257,0.7029351408646368,0.8440934065934066,0.4340549035222976
20,0.8365384615384616,0.82317493585658,0.6867391472521687,0.8365384615384616,0.4371781098646122
21,0.8468406593406593,0.8324476688221137,0.6845380214732663,0.8468406593406593,0.4216253094293259
22,0.8695054945054945,0.85541566456408,0.712279773602792,0.8695054945054945,0.3809888754244689
23,0.8708791208791209,0.8579208082005756,0.7231210934936296,0.8708791208791209,0.3471372093145664
24,0.8983516483516484,0.8877664272047563,0.7684935262254327,0.8983516483516484,0.31931670214776153
25,0.8990384615384616,0.88931090435606,0.770539684232649,0.8990384615384617,0.30277673760940743
26,0.8901098901098901,0.8791050787460509,0.7504626141587368,0.8901098901098901,0.29359732756575385
27,0.9127747252747253,0.9031576250766971,0.7921919768985275,0.9127747252747253,0.2650676794595771
28,0.9107142857142857,0.8991795386922926,0.7731686309300558,0.9107142857142857,0.26933148540147056
29,0.9107142857142857,0.9020755150865355,0.792129459029467,0.9107142857142857,0.25419706720244756
