Epoch,Accuracy,F1 Weighted,F1 Macro,F1 Micro,Loss
0,0.49038461538461536,0.4997350974372929,0.41064412851351473,0.49038461538461536,1.198686039709783
1,0.8427197802197802,0.8267177546695954,0.6762971867705131,0.8427197802197802,0.4657427512191154
2,0.8853021978021978,0.8755559980523693,0.7393776429085223,0.8853021978021979,0.37310118915942997
3,0.8990384615384616,0.8916410136389156,0.7828501213416162,0.8990384615384617,0.33561082028753153
4,0.8962912087912088,0.8881312345005291,0.7633957140463468,0.8962912087912088,0.3379540536757354
5,0.8839285714285714,0.8742186962874485,0.7385596836425298,0.8839285714285714,0.35445160656184943
6,0.9072802197802198,0.897507230696734,0.7708401517454497,0.9072802197802198,0.3084436388133646
7,0.9175824175824175,0.9135913959077542,0.8275277310211004,0.9175824175824175,0.2728613366137494
8,0.9203296703296703,0.9163630098453001,0.8240626042438566,0.9203296703296703,0.26549184838166606
9,0.9100274725274725,0.899812565463973,0.7640529316568471,0.9100274725274725,0.2904481611081532
10,0.9107142857142857,0.9049239211688596,0.7991528831627207,0.9107142857142857,0.26293521832961303
11,0.9217032967032966,0.9155719271316342,0.8137391274804383,0.9217032967032966,0.24706877579728326
12,0.9065934065934066,0.899600833939287,0.7917506028966189,0.9065934065934065,0.25687405712656924
13,0.9271978021978022,0.9227936199199844,0.8278495287148115,0.9271978021978022,0.22530520338933546
14,0.9244505494505495,0.9207855388470977,0.8346466094469975,0.9244505494505495,0.20614895699443397
15,0.9285714285714286,0.9254815663705588,0.8466650801186026,0.9285714285714286,0.21018315401378568
16,0.9333791208791209,0.9295004806459689,0.8531483510872151,0.9333791208791209,0.2200953150679777
17,0.9436813186813187,0.9411799452268181,0.870772741598921,0.9436813186813187,0.15663326654460405
18,0.945054945054945,0.9432941735492527,0.8690628173797962,0.945054945054945,0.17457862804224203
19,0.959478021978022,0.9575625440264522,0.8986165712672353,0.959478021978022,0.1248898673597928
20,0.9546703296703297,0.9539829058780183,0.9025257392594769,0.9546703296703297,0.13479643691699583
21,0.959478021978022,0.95878828646404,0.9136231833186276,0.959478021978022,0.11791880551602814
22,0.9622252747252747,0.9615287933470525,0.9242777056903095,0.9622252747252747,0.11747119624863614
23,0.9649725274725275,0.9639650318999675,0.9198377628559751,0.9649725274725276,0.10156051839118475
24,0.9752747252747253,0.9750285709270164,0.9544015865265645,0.9752747252747253,0.07377125601192097
25,0.9745879120879121,0.9743426682087966,0.95391219695515,0.9745879120879121,0.07772398879239847
26,0.978021978021978,0.9779640730175984,0.9689964858232463,0.978021978021978,0.0721510751070557
27,0.9766483516483516,0.9767102113906277,0.9615326547204417,0.9766483516483516,0.06829676449626357
28,0.978021978021978,0.9779237546092717,0.9646379527732234,0.978021978021978,0.06616755370255355
29,0.9739010989010989,0.9736277542342051,0.9588714970871274,0.9739010989010989,0.07324199574989276
