Epoch,Accuracy,F1 Weighted,F1 Macro,F1 Micro,Loss
0,0.695054945054945,0.6830507589971404,0.5378188980966392,0.695054945054945,0.7695446783205965
1,0.8495879120879121,0.8319550404455287,0.6710967120868201,0.8495879120879121,0.445731965640744
2,0.8585164835164835,0.8427680763073623,0.6832996934297504,0.8585164835164835,0.41707538338480415
3,0.8598901098901099,0.8471458563732912,0.708803401882965,0.8598901098901099,0.419204691527309
4,0.8385989010989011,0.8190327612098023,0.6506314571870397,0.8385989010989011,0.48253214318346194
5,0.8688186813186813,0.8603793288285566,0.7344017818918618,0.8688186813186813,0.4080509209370875
6,0.8653846153846154,0.8483649818068554,0.6835807154030212,0.8653846153846154,0.38955813081382396
7,0.8832417582417582,0.8613223376150673,0.6793495626134165,0.8832417582417582,0.4096786751524433
8,0.8791208791208791,0.8602965771909598,0.6945730789049025,0.8791208791208791,0.3737744189553208
9,0.8653846153846154,0.8454048854838467,0.6716004376897515,0.8653846153846154,0.403907206932922
10,0.8832417582417582,0.8616468336642791,0.6795029651710899,0.8832417582417582,0.3497719103163415
11,0.8956043956043956,0.8756587610260546,0.7016262170328014,0.8956043956043956,0.34468694039426007
12,0.8907967032967034,0.8720546070027424,0.703360081846747,0.8907967032967034,0.31933285410587603
13,0.9017857142857143,0.8901418613584268,0.75550621626101,0.9017857142857143,0.32474831287022476
14,0.9024725274725275,0.8881512862910284,0.733031210314005,0.9024725274725275,0.2871404469504461
15,0.885989010989011,0.8737175607147663,0.7338447819560396,0.885989010989011,0.33073070104960556
16,0.8990384615384616,0.8858218331781469,0.7448479364502045,0.8990384615384617,0.3079091394831846
17,0.9244505494505495,0.9150348450721649,0.7929859771078799,0.9244505494505495,0.2594777734561281
18,0.9196428571428571,0.9108608258331145,0.798786381220825,0.9196428571428571,0.24013522390153383
19,0.9189560439560439,0.9112336978559016,0.7987778285762783,0.918956043956044,0.2436642654158257
20,0.9086538461538461,0.9009596890515015,0.786087440114343,0.9086538461538461,0.25037356867240024
21,0.926510989010989,0.9202657185692182,0.8129077757246246,0.926510989010989,0.2022456822323275
22,0.9368131868131868,0.932639622679689,0.8522366248883755,0.9368131868131868,0.18528215529826972
23,0.9491758241758241,0.9450189409228541,0.8667772305891539,0.9491758241758241,0.19688312660206805
24,0.9436813186813187,0.940934331622099,0.8684594414735431,0.9436813186813187,0.1700555886049847
25,0.9491758241758241,0.9467388792520549,0.8843971745069173,0.9491758241758241,0.14578346670656414
26,0.9629120879120879,0.9615861956076664,0.9157075405540661,0.9629120879120879,0.12770883427871452
27,0.9656593406593407,0.9649153029699151,0.9282639626051326,0.9656593406593407,0.11642088384909945
28,0.9587912087912088,0.9569153008599971,0.8928616803907533,0.9587912087912088,0.11908485028114947
29,0.9649725274725275,0.9638195483874733,0.9240877348800479,0.9649725274725276,0.10485173205097953
