Epoch,Accuracy,F1 Weighted,F1 Macro,F1 Micro,Loss
0,0.7,0.69,0.54,0.7,0.76
1,0.85,0.83,0.68,0.85,0.47
2,0.88,0.87,0.75,0.88,0.36
3,0.86,0.85,0.71,0.86,0.44
4,0.87,0.85,0.69,0.87,0.4
5,0.86,0.84,0.7,0.86,0.42
6,0.87,0.85,0.71,0.87,0.4
7,0.89,0.87,0.74,0.89,0.36
8,0.89,0.88,0.73,0.89,0.34
9,0.88,0.87,0.74,0.88,0.38
10,0.88,0.86,0.7,0.88,0.34
11,0.9,0.89,0.77,0.9,0.31
12,0.89,0.88,0.76,0.89,0.32
13,0.89,0.88,0.73,0.89,0.33
14,0.9,0.89,0.76,0.9,0.27
15,0.91,0.9,0.78,0.91,0.26
16,0.91,0.9,0.79,0.91,0.26
17,0.91,0.9,0.78,0.91,0.26
18,0.92,0.91,0.8,0.92,0.23
19,0.92,0.91,0.8,0.92,0.24
20,0.93,0.93,0.83,0.93,0.2
21,0.94,0.93,0.84,0.94,0.18
22,0.93,0.93,0.84,0.93,0.17
23,0.95,0.95,0.85,0.95,0.14
24,0.95,0.95,0.89,0.95,0.14
25,0.96,0.96,0.93,0.96,0.12
26,0.96,0.96,0.92,0.96,0.12
27,0.97,0.97,0.93,0.97,0.1
28,0.96,0.96,0.93,0.96,0.13
29,0.97,0.97,0.94,0.97,0.1
