Epoch,Accuracy,F1 Weighted,F1 Macro,F1 Micro,Loss
0,0.7019230769230769,0.6941184528272843,0.5524882429953193,0.7019230769230769,0.7606113476085139
1,0.8241758241758241,0.8076558814945135,0.6506101949555019,0.8241758241758241,0.5803630135052806
2,0.801510989010989,0.7847343371026391,0.6221767497849527,0.801510989010989,0.5985456838548838
3,0.6195054945054945,0.5982784568566495,0.4667417111636891,0.6195054945054945,0.8473927614453075
4,0.5782967032967034,0.5673950939293724,0.4382611196266448,0.5782967032967034,0.9127644241511167
5,0.5728021978021978,0.560441607542318,0.4429073083779365,0.5728021978021978,0.8792851609843118
6,0.6298076923076923,0.609857221524772,0.4761732117323487,0.6298076923076923,0.7549676289270212
7,0.6332417582417582,0.6070617938062779,0.4728628494542789,0.6332417582417582,0.7285216863338764
8,0.625,0.6043014099102849,0.4659939688273876,0.625,0.7038470087470589
9,0.6208791208791209,0.5987489211753402,0.46114059535733304,0.6208791208791209,0.7573161593505314
10,0.6346153846153846,0.610941987632755,0.47112816374495176,0.6346153846153846,0.7098950075579213
11,0.6435439560439561,0.6210894804299476,0.4792234095703286,0.6435439560439561,0.6712362690941318
12,0.6394230769230769,0.5956930913466746,0.4553993007078947,0.6394230769230769,0.683920389020836
13,0.6208791208791209,0.5921116573509078,0.4549088009667911,0.6208791208791209,0.7078664184926631
14,0.6373626373626373,0.6184351174523006,0.47806783950703524,0.6373626373626373,0.6844875075659909
15,0.654532967032967,0.6347288199758409,0.49202899523157717,0.654532967032967,0.6579116687669859
16,0.6552197802197802,0.6327167613682817,0.49432722757928954,0.6552197802197802,0.6528471705022749
17,0.6593406593406593,0.6348037129281338,0.4953279384231425,0.6593406593406593,0.6206563102020012
18,0.7857142857142857,0.7658081886029725,0.6067591778657199,0.7857142857142857,0.5556604038555544
19,0.7740384615384616,0.7549233380945846,0.5921404354196939,0.7740384615384616,0.5350097610236524
20,0.8688186813186813,0.8496774157557176,0.6801701604700069,0.8688186813186813,0.39755960955069614
21,0.8722527472527473,0.8545732821268767,0.6945224837582903,0.8722527472527473,0.3632776602938935
22,0.896978021978022,0.8794031899789679,0.72496543624582,0.896978021978022,0.2947010549378919
23,0.9162087912087912,0.9032425012860026,0.7629900339348499,0.9162087912087912,0.2739645486677086
24,0.9148351648351648,0.8993375916941845,0.7488563081029083,0.9148351648351648,0.26224017810526784
25,0.9285714285714286,0.9129599146996413,0.7593236739764575,0.9285714285714286,0.21231117222335313
26,0.9326923076923077,0.9197231150652235,0.7876182605001179,0.9326923076923077,0.2193331859268985
27,0.9354395604395604,0.9241740075159364,0.7959903572115509,0.9354395604395604,0.20292572881821747
28,0.9381868131868132,0.9278089116799189,0.8138209475619363,0.9381868131868132,0.20188662499844373
29,0.9333791208791209,0.9221502261456469,0.7945622824821943,0.9333791208791209,0.20532426639245108
